Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL,Year,Category,Nominee,Won?,Seasons
Good Will Hunting,"Drama, Romance",70,8.3,,R,Miramax Films,9-Jan-98,https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1997 (70th),Best Picture,Good Will Hunting,NO,Winter
L.A. Confidential,"Crime, Drama, Mystery, Thriller",90,8.3,,R,Warner Bros. Pictures,19-Sep-97,https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1997 (70th),Best Picture,L.A. Confidential,NO,Fall
Titanic,"Drama, Romance",75,7.8,,PG-13,Paramount Pictures,19-Dec-97,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1997 (70th),Best Picture,Titanic,YES,Winter
The English Patient,"Drama, Romance, War",87,7.4,,R,Miramax Films,6-Dec-96,https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1996 (69th),Best Picture,The English Patient,YES,Winter
Fargo,"Crime, Drama, Thriller",85,8.1,,R,MGM,5-Apr-96,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1996 (69th),Best Picture,Fargo,NO,Spring
Jerry Maguire,"Comedy, Drama, Romance, Sport",77,7.3,,R,TriStar Pictures,13-Dec-96,https://m.media-amazon.com/images/M/MV5BYTM0ZWNmZTUtOTVkZS00MTZiLTg3M2QtZjA0Y2RmOWM1NWEyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1996 (69th),Best Picture,Jerry Maguire,NO,Winter
Secrets & Lies,Drama,91,8,,R,Twentieth Century Fox Home Entertainment,28-Feb-97,https://m.media-amazon.com/images/M/MV5BY2QzMTIxNjItNGQyNy00MjQzLWJiYTItMzIyZjdkYjYyYjRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1996 (69th),Best Picture,Secrets & Lies,NO,Winter
Shine,"Biography, Drama, Music, Romance",87,7.7,,PG-13,New Line Home Entertainment,14-Feb-97,https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_SX300.jpg,1996 (69th),Best Picture,Shine,NO,Winter
Apollo 13,"Adventure, Drama, History",77,7.6,,PG,Universal Pictures,30-Jun-95,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1995 (68th),Best Picture,Apollo 13,NO,Summer
Babe,"Comedy, Drama, Family",83,6.8,,G,Universal Pictures,4-Aug-95,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,1995 (68th),Best Picture,Babe,NO,Summer
Braveheart,"Biography, Drama, History, War",68,8.4,,R,Paramount Pictures,24-May-95,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1995 (68th),Best Picture,Braveheart,YES,Spring
The Postman (Il Postino),"Biography, Comedy, Drama, Romance",81,7.7,,PG,Penta Film,22-Mar-96,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,1995 (68th),Best Picture,The Postman (Il Postino),NO,Spring
Sense and Sensibility,"Drama, Romance",84,7.7,,PG,Columbia Pictures,26-Jan-96,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,1995 (68th),Best Picture,Sense and Sensibility,NO,Winter
Forrest Gump,"Drama, Romance",82,8.8,"$330,000,000 ",PG-13,Paramount Pictures,6-Jul-94,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1994 (67th),Best Picture,Forrest Gump,YES,Summer
Four Weddings and a Funeral,"Comedy, Drama, Romance",81,7.1,,R,Gramercy Pictures,15-Apr-94,https://m.media-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg,1994 (67th),Best Picture,Four Weddings and a Funeral,NO,Spring
Pulp Fiction,"Crime, Drama",94,8.9,,R,Miramax Films,14-Oct-94,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1994 (67th),Best Picture,Pulp Fiction,NO,Fall
Quiz Show,"Biography, Drama, History",88,7.5,,PG-13,Buena Vista Internationa,7-Oct-94,https://m.media-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,1994 (67th),Best Picture,Quiz Show,NO,Fall
The Shawshank Redemption,Drama,80,9.3,,R,Columbia Pictures,14-Oct-94,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1994 (67th),Best Picture,The Shawshank Redemption,NO,Fall
The Fugitive,"Action, Crime, Drama, Mystery, Thriller",87,7.8,,PG-13,Warner Bros. Pictures,6-Aug-93,https://m.media-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1993 (66th),Best Picture,The Fugitive,NO,Summer
In the Name of the Father,"Biography, Drama",84,8.1,,R,Universal Pictures,25-Feb-94,https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1993 (66th),Best Picture,In the Name of the Father,NO,Winter
The Piano,"Drama, Music, Romance",89,7.6,,R,Miramax Films,11-Feb-94,https://m.media-amazon.com/images/M/MV5BMWVkNzg3NDktOTFmMi00YjU2LTk0MzMtYTVjZjRiYTliZDkzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1993 (66th),Best Picture,The Piano,NO,Winter
The Remains of the Day,"Drama, Romance",84,7.9,,PG,Sony Pictures Home Entertainment,19-Nov-93,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,1993 (66th),Best Picture,The Remains of the Day,NO,Fall
Schindler's List,"Biography, Drama, History",93,8.9,,R,Universal Pictures,4-Feb-94,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1993 (66th),Best Picture,Schindler's List,YES,Winter
The Crying Game,"Crime, Drama, Romance, Thriller",90,7.3,,R,Live Home Video,19-Feb-93,https://m.media-amazon.com/images/M/MV5BYWU4MjQ3YzUtNTA3YS00YmRmLTk1YjktODM1NGU0MjFiOTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1992 (65th),Best Picture,The Crying Game,NO,Winter
A Few Good Men,"Drama, Thriller",62,7.7,,R,Columbia Pictures,11-Dec-92,https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1992 (65th),Best Picture,A Few Good Men,NO,Winter
Howards End,"Drama, Romance",89,7.5,"$157,888 ",PG,Sony Pictures Home Entertainment,26-Feb-93,https://m.media-amazon.com/images/M/MV5BMTk3MDY3NDc2NF5BMl5BanBnXkFtZTgwODcwNjgzOTE@._V1_SX300.jpg,1992 (65th),Best Picture,Howards End,NO,Winter
Scent of a Woman,Drama,59,8,,R,Universal Pictures,8-Jan-93,https://m.media-amazon.com/images/M/MV5BZTM3ZjA3NTctZThkYy00ODYyLTk2ZjItZmE0MmZlMTk3YjQwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1992 (65th),Best Picture,Scent of a Woman,NO,Winter
Unforgiven,"Drama, Western",85,8.2,,R,Warner Bros. Pictures,7-Aug-92,https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1992 (65th),Best Picture,Unforgiven,YES,Summer
Beauty and the Beast,"Animation, Family, Fantasy, Musical, Romance",95,8,"$47,611,331 ",G,Buena Vista,22-Nov-91,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1991 (64th),Best Picture,Beauty and the Beast,NO,Fall
Bugsy,"Biography, Crime, Drama",80,6.8,,R,Sony Pictures Home Entertainment,20-Dec-91,https://m.media-amazon.com/images/M/MV5BMjIzMTgwODE0Nl5BMl5BanBnXkFtZTgwNzgyMDUxMDE@._V1_SX300.jpg,1991 (64th),Best Picture,Bugsy,NO,Winter
JFK,"Drama, History, Thriller",72,8,,R,Warner Bros.,20-Dec-91,https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1991 (64th),Best Picture,JFK,NO,Winter
The Prince of Tides,"Drama, Romance",65,6.7,,R,Sony Pictures Home Entertainment,25-Dec-91,https://m.media-amazon.com/images/M/MV5BOTg0MjljZmYtNTkxMy00ZGE3LWI4NjQtZjdlOWU1ODc1M2NkXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,1991 (64th),Best Picture,The Prince of Tides,NO,Winter
The Silence of the Lambs,"Crime, Drama, Thriller",85,8.6,,R,Orion Pictures Corporation,14-Feb-91,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1991 (64th),Best Picture,The Silence of the Lambs,YES,Winter
Awakenings,"Biography, Drama",74,7.8,,PG-13,Columbia Pictures,11-Jan-91,https://m.media-amazon.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg,1990 (63rd),Best Picture,Awakenings,NO,Winter
Ghost,"Drama, Fantasy, Romance, Thriller",52,7,,PG-13,Paramount Pictures,13-Jul-90,https://m.media-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,1990 (63rd),Best Picture,Ghost,NO,Summer
Good Fellas,Comedy,,8.7,,,,1-Mar-17,,1990 (63rd),Best Picture,Good Fellas,NO,Spring
Born on the Fourth of July,"Biography, Drama, War",75,7.2,,R,Universal Pictures,5-Jan-90,https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,1989 (62nd),Best Picture,Born on the Fourth of July,NO,Winter
Dead Poets Society,"Comedy, Drama",79,8.1,,PG,Buena Vista Pictures,9-Jun-89,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Dead Poets Society,NO,Summer
Driving Miss Daisy,Drama,81,7.4,,PG,Fathom Events,26-Jan-90,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Driving Miss Daisy,YES,Winter
Field of Dreams,"Drama, Family, Fantasy, Sport",57,7.5,,PG,Universal Pictures,5-May-89,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Field of Dreams,NO,Spring
My Left Foot,"Biography, Drama",97,7.9,,R,HBO Video,30-Mar-90,https://m.media-amazon.com/images/M/MV5BYjdkNzA4MzYtZThhOS00ZDgzLTlmMDItNmY1ZjI5YjkzZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,My Left Foot,NO,Spring
The Accidental Tourist,"Drama, Romance",53,6.8,,PG,Warner Home Video,6-Jan-89,https://m.media-amazon.com/images/M/MV5BZWI3MzgyODctODM3NS00YTYxLThjZjAtYzdjOGIzZWQyZmIzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1988 (61st),Best Picture,The Accidental Tourist,NO,Winter
Dangerous Liaisons,"Drama, Romance",74,7.6,,R,Warner Home Video,24-Feb-89,https://m.media-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1988 (61st),Best Picture,Dangerous Liaisons,NO,Winter
Mississippi Burning,"Crime, Drama, History, Mystery, Thriller",65,7.8,,R,Orion Pictures Corporation,27-Jan-89,https://m.media-amazon.com/images/M/MV5BM2MxNzZjZmItNzlhMi00NWM4LTgxODItZjQxNTQzZTdhMDcxXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,1988 (61st),Best Picture,Mississippi Burning,NO,Winter
Rain Man,Drama,65,8,,R,MGM,16-Dec-88,https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1988 (61st),Best Picture,Rain Man,YES,Winter
Working Girl,"Comedy, Drama, Romance",73,6.8,,R,20th Century Fox,21-Dec-88,https://m.media-amazon.com/images/M/MV5BZTIwZGE5OWUtYzMxMi00Njk5LWI5NjAtMWYyMDljZGRjYWRlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1988 (61st),Best Picture,Working Girl,NO,Winter
Broadcast News,"Comedy, Drama, Romance",84,7.2,,R,Twentieth Century Fox Home Entertainment,25-Dec-87,https://m.media-amazon.com/images/M/MV5BN2E1ZmU5NDQtNjdlZC00Y2VhLTk2MWMtMmU0M2YyY2E3MTkyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1987 (60th),Best Picture,Broadcast News,NO,Winter
Fatal Attraction,"Drama, Thriller",67,6.9,,R,Paramount Pictures,18-Sep-87,https://m.media-amazon.com/images/M/MV5BYjBjNzNiNWYtYWU0NC00OTdjLTk3NmYtM2NjZjc2ZGIwOTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1987 (60th),Best Picture,Fatal Attraction,NO,Fall
Hope and Glory,"Comedy, Drama, Romance",,7.4,,PG-13,Nelson Entertainment,19-Feb-88,https://m.media-amazon.com/images/M/MV5BMDUxNjg4MGQtODM2NC00YWZmLWJkZTEtMmFmMTBlZmYyMWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1987 (60th),Best Picture,Hope and Glory,NO,Winter
The Last Emperor,"Biography, Drama, History",76,7.8,,PG-13,Columbia Pictures,15-Apr-88,https://m.media-amazon.com/images/M/MV5BZTk0NDU4YmItOTk0ZS00ODc2LTkwNGItNWI5MDJkNTJiYWMxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1987 (60th),Best Picture,The Last Emperor,YES,Spring
Moonstruck,"Comedy, Drama, Romance",83,7.1,,PG,MGM Home Entertainment,15-Jan-88,https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,1987 (60th),Best Picture,Moonstruck,NO,Winter
Children of a Lesser God,"Drama, Romance",80,7.2,,R,Paramount Pictures,31-Oct-86,https://m.media-amazon.com/images/M/MV5BN2VjN2ViNTItMWFhNS00MTdjLTk0MTEtYTA5MzQ5OThkMjgwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1986 (59th),Best Picture,Children of a Lesser God,NO,Fall
Hannah and Her Sisters,"Comedy, Drama",90,7.9,,PG-13,Orion Pictures,14-Mar-86,https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1986 (59th),Best Picture,Hannah and Her Sisters,NO,Spring
The Mission,"Adventure, Drama, History",55,7.5,,PG,Warner Home Video,31-Oct-86,https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1986 (59th),Best Picture,The Mission,NO,Fall
Platoon,"Drama, War",92,8.1,,R,Orion Pictures,6-Feb-87,https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1986 (59th),Best Picture,Platoon,YES,Winter
A Room with a View,"Drama, Romance",80,7.4,,Not Rated,Cinecom Pictures,11-Apr-86,https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,1986 (59th),Best Picture,A Room with a View,NO,Spring
The Color Purple,Drama,78,7.8,,PG-13,Warner Home Video,7-Feb-86,https://m.media-amazon.com/images/M/MV5BZDRkOWQ5NGUtYTVmOS00ZjNhLWEwODgtOGI2MmUxNTBkMjU0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1985 (58th),Best Picture,The Color Purple,NO,Winter
Kiss of the Spider Woman,Drama,80,7.4,,R,Strand Releasing,26-Jul-85,"https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg",1985 (58th),Best Picture,Kiss of the Spider Woman,NO,Summer
Out of Africa,"Biography, Drama, Romance",69,7.2,,PG,Universal Pictures,20-Dec-85,https://m.media-amazon.com/images/M/MV5BMTc5Y2NiZWQtZGY4YS00NDI4LThhM2ItMDdhYzFlNzY1NmM0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1985 (58th),Best Picture,Out of Africa,YES,Winter
Prizzi's Honor,"Comedy, Crime, Drama, Romance",84,6.8,,R,Fox,14-Jun-85,https://m.media-amazon.com/images/M/MV5BZmVmOGIzNDUtODYwZi00NWI2LTlhOGQtNmU1ZjU2OGFiOTRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1985 (58th),Best Picture,Prizzi's Honor,NO,Summer
Witness,"Crime, Drama, Romance, Thriller",76,7.4,,R,Paramount Pictures,8-Feb-85,https://m.media-amazon.com/images/M/MV5BZWQzYmM5OGYtMDJlOC00M2RlLThhYzgtNjZiOWYxNjlhMDJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1985 (58th),Best Picture,Witness,NO,Winter
Amadeus,"Biography, Drama, History, Music",88,8.3,,R,Warner Bros. Pictures,19-Sep-84,https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1984 (57th),Best Picture,Amadeus,YES,Fall
The Killing Fields,"Biography, Drama, History, War",,7.9,,R,Warner Home Video,1-Feb-85,https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,The Killing Fields,NO,Winter
A Passage to India,"Adventure, Drama, History",,7.4,,PG,Sony Pictures Entertainment,1-Feb-85,https://m.media-amazon.com/images/M/MV5BMjI4MzMzMTUzMV5BMl5BanBnXkFtZTgwNzAzMDUxMDE@._V1_SX300.jpg,1984 (57th),Best Picture,A Passage to India,NO,Winter
Places in the Heart,Drama,70,7.4,,PG,Twentieth Century Fox Home Entertainment,5-Oct-84,https://m.media-amazon.com/images/M/MV5BNGQwODc1NTctYTAzMS00M2YyLTgwNzMtNGY1MDE4MjE4YzY5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,Places in the Heart,NO,Fall
A Soldier's Story,"Crime, Drama, Mystery, War",,7.2,,PG,Sony Pictures Home Entertainment,2-Nov-84,https://m.media-amazon.com/images/M/MV5BMzUxMjY2MWQtNGUyZC00NjkzLWE1MWUtYTM5YzFiZDU5MDM4XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,A Soldier's Story,NO,Fall
The Big Chill,"Comedy, Drama",61,7.2,,R,Columbia Pictures,30-Sep-83,https://m.media-amazon.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX300.jpg,1983 (56th),Best Picture,The Big Chill,NO,Fall
The Dresser,Drama,,7.7,,PG,Sony Pictures Entertainment,6-Dec-83,https://m.media-amazon.com/images/M/MV5BN2IxMWUwZWYtZmE1Yi00Yzk2LWE3NzYtNGZkMjdlM2I0MzhiXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,1983 (56th),Best Picture,The Dresser,NO,Winter
The Right Stuff,"Adventure, Biography, Drama, History",91,7.9,,PG,Warner Bros. Pictures,17-Feb-84,https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1983 (56th),Best Picture,The Right Stuff,NO,Winter
Tender Mercies,"Drama, Music",,7.4,,PG,HBO Video,10-Jun-83,https://m.media-amazon.com/images/M/MV5BMjEzYjQzOTQtMzFmMS00MjIwLTk2ZDQtZDFhMDdkYjFhZDMwXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1983 (56th),Best Picture,Tender Mercies,NO,Summer
Terms of Endearment,"Comedy, Drama",79,7.4,,PG,Paramount Pictures,9-Dec-83,https://m.media-amazon.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX300.jpg,1983 (56th),Best Picture,Terms of Endearment,YES,Winter
Gandhi,"Biography, Drama, History",79,8.1,,PG,Columbia Pictures,25-Feb-83,https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1982 (55th),Best Picture,Gandhi,YES,Winter
Missing,"Biography, Drama, History, Mystery, Thriller",78,7.8,,PG,Universal Pictures,12-Mar-82,https://m.media-amazon.com/images/M/MV5BMGJmOGZiN2YtYWI2MS00ZGQzLWEwMmQtZTdiYjFjOWFiZDg4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1982 (55th),Best Picture,Missing,NO,Spring
Tootsie,"Comedy, Drama, Romance",88,7.4,,PG,Columbia Pictures,17-Dec-82,https://m.media-amazon.com/images/M/MV5BMTY4MGJjMTktNGM4Ni00ODliLWJlYjQtNjc4NmY2NjQ3NzEzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1982 (55th),Best Picture,Tootsie,NO,Winter
The Verdict,Drama,77,7.8,,R,Twentieth Century Fox Home Entertainment,17-Dec-82,https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg,1982 (55th),Best Picture,The Verdict,NO,Winter
Atlantic City,"Crime, Drama, Romance",,7.4,,R,Paramount Home Video,3-Apr-81,https://m.media-amazon.com/images/M/MV5BYThhZmI4ZjYtYzZlZS00NWRlLWJkZmMtNGVlMzIyNmE1ZjU1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1981 (54th),Best Picture,Atlantic City,NO,Spring
Chariots of Fire,"Biography, Drama, Sport",78,7.2,,PG,20th Century Fox,9-Apr-82,https://m.media-amazon.com/images/M/MV5BZjNlNDFmM2ItMDE0Zi00MWNiLTljOWQtZGQ1YTQ2ZWUzZDU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1981 (54th),Best Picture,Chariots of Fire,YES,Spring
On Golden Pond,Drama,68,7.7,,PG,Twentieth Century Fox Home Entertainment,12-Feb-82,https://m.media-amazon.com/images/M/MV5BNWQ4MGZlZmYtZjY0MS00N2JhLWE0NmMtOTMwMTk4NDQ4NjE2XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1981 (54th),Best Picture,On Golden Pond,NO,Winter
Raiders of the Lost Ark,"Action, Adventure",85,8.5,,PG,Paramount Pictures,12-Jun-81,https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,1981 (54th),Best Picture,Raiders of the Lost Ark,NO,Summer
