Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL
The Fugitive,"Action, Crime, Drama, Mystery, Thriller",87,7.8,N/A,PG-13,Warner Bros. Pictures,06 Aug 1993,https://m.media-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
In the Name of the Father,"Biography, Drama",84,8.1,N/A,R,Universal Pictures,25 Feb 1994,https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Piano,"Drama, Music, Romance",89,7.6,N/A,R,Miramax Films,11 Feb 1994,https://m.media-amazon.com/images/M/MV5BMWVkNzg3NDktOTFmMi00YjU2LTk0MzMtYTVjZjRiYTliZDkzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
The Remains of the Day,"Drama, Romance",84,7.9,N/A,PG,Sony Pictures Home Entertainment,19 Nov 1993,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg
Schindler's List,"Biography, Drama, History",93,8.9,N/A,R,Universal Pictures,04 Feb 1994,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
The Crying Game,"Crime, Drama, Romance, Thriller",90,7.3,N/A,R,Live Home Video,19 Feb 1993,https://m.media-amazon.com/images/M/MV5BYWU4MjQ3YzUtNTA3YS00YmRmLTk1YjktODM1NGU0MjFiOTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
A Few Good Men,"Drama, Thriller",62,7.7,N/A,R,Columbia Pictures,11 Dec 1992,https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Howards End,"Drama, Romance",89,7.5,"$157,888",PG,Sony Pictures Home Entertainment,26 Feb 1993,https://m.media-amazon.com/images/M/MV5BMTk3MDY3NDc2NF5BMl5BanBnXkFtZTgwODcwNjgzOTE@._V1_SX300.jpg
Scent of a Woman,Drama,59,8.0,N/A,R,Universal Pictures,08 Jan 1993,https://m.media-amazon.com/images/M/MV5BZTM3ZjA3NTctZThkYy00ODYyLTk2ZjItZmE0MmZlMTk3YjQwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Unforgiven,"Drama, Western",85,8.2,N/A,R,Warner Bros. Pictures,07 Aug 1992,https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Beauty and the Beast,"Animation, Family, Fantasy, Musical, Romance",95,8.0,"$47,611,331",G,Buena Vista,22 Nov 1991,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Bugsy,"Biography, Crime, Drama",80,6.8,N/A,R,Sony Pictures Home Entertainment,20 Dec 1991,https://m.media-amazon.com/images/M/MV5BMjIzMTgwODE0Nl5BMl5BanBnXkFtZTgwNzgyMDUxMDE@._V1_SX300.jpg
JFK,"Drama, History, Thriller",72,8.0,N/A,R,Warner Bros.,20 Dec 1991,https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
The Prince of Tides,"Drama, Romance",65,6.7,N/A,R,Sony Pictures Home Entertainment,25 Dec 1991,https://m.media-amazon.com/images/M/MV5BOTg0MjljZmYtNTkxMy00ZGE3LWI4NjQtZjdlOWU1ODc1M2NkXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg
The Silence of the Lambs,"Crime, Drama, Thriller",85,8.6,N/A,R,Orion Pictures Corporation,14 Feb 1991,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Awakenings,"Biography, Drama",74,7.8,N/A,PG-13,Columbia Pictures,11 Jan 1991,https://m.media-amazon.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg
Dances with Wolves,"Adventure, Drama, Western",72,8.0,N/A,PG-13,Orion Pictures,21 Nov 1990,https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX300.jpg
Ghost,"Drama, Fantasy, Romance, Thriller",52,7.0,N/A,PG-13,Paramount Pictures,13 Jul 1990,https://m.media-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg
The Godfather Part III,"Crime, Drama",60,7.6,N/A,R,Paramount Pictures,25 Dec 1990,https://m.media-amazon.com/images/M/MV5BNTc1YjhiNzktMjEyNS00YmNhLWExYjItZDhkNWJjZjYxOWZiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Good Fellas,Comedy,N/A,N/A,N/A,N/A,N/A,01 Mar 2017,N/A
Born on the Fourth of July,"Biography, Drama, War",75,7.2,N/A,R,Universal Pictures,05 Jan 1990,https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg
Dead Poets Society,"Comedy, Drama",79,8.1,N/A,PG,Buena Vista Pictures,09 Jun 1989,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Driving Miss Daisy,Drama,81,7.4,N/A,PG,Fathom Events,26 Jan 1990,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Field of Dreams,"Drama, Family, Fantasy, Sport",57,7.5,N/A,PG,Universal Pictures,05 May 1989,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
My Left Foot,"Biography, Drama",97,7.9,N/A,R,HBO Video,30 Mar 1990,https://m.media-amazon.com/images/M/MV5BYjdkNzA4MzYtZThhOS00ZDgzLTlmMDItNmY1ZjI5YjkzZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Accidental Tourist,"Drama, Romance",53,6.8,N/A,PG,Warner Home Video,06 Jan 1989,https://m.media-amazon.com/images/M/MV5BZWI3MzgyODctODM3NS00YTYxLThjZjAtYzdjOGIzZWQyZmIzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Dangerous Liaisons,"Drama, Romance",74,7.6,N/A,R,Warner Home Video,24 Feb 1989,https://m.media-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Mississippi Burning,"Crime, Drama, History, Mystery, Thriller",65,7.8,N/A,R,Orion Pictures Corporation,27 Jan 1989,https://m.media-amazon.com/images/M/MV5BM2MxNzZjZmItNzlhMi00NWM4LTgxODItZjQxNTQzZTdhMDcxXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg
Rain Man,Drama,65,8.0,N/A,R,MGM,16 Dec 1988,https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Working Girl,"Comedy, Drama, Romance",73,6.8,N/A,R,20th Century Fox,21 Dec 1988,https://m.media-amazon.com/images/M/MV5BZTIwZGE5OWUtYzMxMi00Njk5LWI5NjAtMWYyMDljZGRjYWRlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Broadcast News,"Comedy, Drama, Romance",84,7.2,N/A,R,Twentieth Century Fox Home Entertainment,25 Dec 1987,https://m.media-amazon.com/images/M/MV5BN2E1ZmU5NDQtNjdlZC00Y2VhLTk2MWMtMmU0M2YyY2E3MTkyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Fatal Attraction,"Drama, Thriller",67,6.9,N/A,R,Paramount Pictures,18 Sep 1987,https://m.media-amazon.com/images/M/MV5BYjBjNzNiNWYtYWU0NC00OTdjLTk3NmYtM2NjZjc2ZGIwOTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Hope and Glory,"Comedy, Drama, Romance",N/A,7.4,N/A,PG-13,Nelson Entertainment,19 Feb 1988,https://m.media-amazon.com/images/M/MV5BMDUxNjg4MGQtODM2NC00YWZmLWJkZTEtMmFmMTBlZmYyMWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
The Last Emperor,"Biography, Drama, History",76,7.8,N/A,PG-13,Columbia Pictures,15 Apr 1988,https://m.media-amazon.com/images/M/MV5BZTk0NDU4YmItOTk0ZS00ODc2LTkwNGItNWI5MDJkNTJiYWMxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Moonstruck,"Comedy, Drama, Romance",83,7.1,N/A,PG,MGM Home Entertainment,15 Jan 1988,https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg
Children of a Lesser God,"Drama, Romance",80,7.2,N/A,R,Paramount Pictures,31 Oct 1986,https://m.media-amazon.com/images/M/MV5BN2VjN2ViNTItMWFhNS00MTdjLTk0MTEtYTA5MzQ5OThkMjgwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Hannah and Her Sisters,"Comedy, Drama",90,7.9,N/A,PG-13,Orion Pictures,14 Mar 1986,https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Mission,"Adventure, Drama, History",55,7.5,N/A,PG,Warner Home Video,31 Oct 1986,https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Platoon,"Drama, War",92,8.1,N/A,R,Orion Pictures,06 Feb 1987,https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
A Room with a View,"Drama, Romance",80,7.4,N/A,Not Rated,Cinecom Pictures,11 Apr 1986,https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
The Color Purple,Drama,78,7.8,N/A,PG-13,Warner Home Video,07 Feb 1986,https://m.media-amazon.com/images/M/MV5BZDRkOWQ5NGUtYTVmOS00ZjNhLWEwODgtOGI2MmUxNTBkMjU0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Kiss of the Spider Woman,Drama,80,7.4,N/A,R,Strand Releasing,26 Jul 1985,"https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg"
Out of Africa,"Biography, Drama, Romance",69,7.2,N/A,PG,Universal Pictures,20 Dec 1985,https://m.media-amazon.com/images/M/MV5BMTc5Y2NiZWQtZGY4YS00NDI4LThhM2ItMDdhYzFlNzY1NmM0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Prizzi's Honor,"Comedy, Crime, Drama, Romance",84,6.8,N/A,R,Fox,14 Jun 1985,https://m.media-amazon.com/images/M/MV5BZmVmOGIzNDUtODYwZi00NWI2LTlhOGQtNmU1ZjU2OGFiOTRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Witness,"Crime, Drama, Romance, Thriller",76,7.4,N/A,R,Paramount Pictures,08 Feb 1985,https://m.media-amazon.com/images/M/MV5BZWQzYmM5OGYtMDJlOC00M2RlLThhYzgtNjZiOWYxNjlhMDJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Amadeus,"Biography, Drama, History, Music",88,8.3,N/A,R,Warner Bros. Pictures,19 Sep 1984,https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
The Killing Fields,"Biography, Drama, History, War",N/A,7.9,N/A,R,Warner Home Video,01 Feb 1985,https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
A Passage to India,"Adventure, Drama, History",N/A,7.4,N/A,PG,Sony Pictures Entertainment,01 Feb 1985,https://m.media-amazon.com/images/M/MV5BMjI4MzMzMTUzMV5BMl5BanBnXkFtZTgwNzAzMDUxMDE@._V1_SX300.jpg
Places in the Heart,Drama,70,7.4,N/A,PG,Twentieth Century Fox Home Entertainment,05 Oct 1984,https://m.media-amazon.com/images/M/MV5BNGQwODc1NTctYTAzMS00M2YyLTgwNzMtNGY1MDE4MjE4YzY5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
A Soldier's Story,"Crime, Drama, Mystery, War",N/A,7.2,N/A,PG,Sony Pictures Home Entertainment,02 Nov 1984,https://m.media-amazon.com/images/M/MV5BMzUxMjY2MWQtNGUyZC00NjkzLWE1MWUtYTM5YzFiZDU5MDM4XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
The Big Chill,"Comedy, Drama",61,7.2,N/A,R,Columbia Pictures,30 Sep 1983,https://m.media-amazon.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX300.jpg
The Dresser,Drama,N/A,7.7,N/A,PG,Sony Pictures Entertainment,06 Dec 1983,https://m.media-amazon.com/images/M/MV5BN2IxMWUwZWYtZmE1Yi00Yzk2LWE3NzYtNGZkMjdlM2I0MzhiXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg
The Right Stuff,"Adventure, Biography, Drama, History",91,7.9,N/A,PG,Warner Bros. Pictures,17 Feb 1984,https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Tender Mercies,"Drama, Music",N/A,7.4,N/A,PG,HBO Video,10 Jun 1983,https://m.media-amazon.com/images/M/MV5BMjEzYjQzOTQtMzFmMS00MjIwLTk2ZDQtZDFhMDdkYjFhZDMwXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
Terms of Endearment,"Comedy, Drama",79,7.4,N/A,PG,Paramount Pictures,09 Dec 1983,https://m.media-amazon.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX300.jpg
E.T. the Extra-Terrestrial,"Family, Sci-Fi",91,7.9,N/A,PG,Universal Pictures,11 Jun 1982,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Gandhi,"Biography, Drama, History",79,8.1,N/A,PG,Columbia Pictures,25 Feb 1983,https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Missing,"Biography, Drama, History, Mystery, Thriller",78,7.8,N/A,PG,Universal Pictures,12 Mar 1982,https://m.media-amazon.com/images/M/MV5BMGJmOGZiN2YtYWI2MS00ZGQzLWEwMmQtZTdiYjFjOWFiZDg4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Tootsie,"Comedy, Drama, Romance",88,7.4,N/A,PG,Columbia Pictures,17 Dec 1982,https://m.media-amazon.com/images/M/MV5BMTY4MGJjMTktNGM4Ni00ODliLWJlYjQtNjc4NmY2NjQ3NzEzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
The Verdict,Drama,77,7.8,N/A,R,Twentieth Century Fox Home Entertainment,17 Dec 1982,https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg
Atlantic City,"Crime, Drama, Romance",N/A,7.4,N/A,R,Paramount Home Video,03 Apr 1981,https://m.media-amazon.com/images/M/MV5BYThhZmI4ZjYtYzZlZS00NWRlLWJkZmMtNGVlMzIyNmE1ZjU1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Chariots of Fire,"Biography, Drama, Sport",78,7.2,N/A,PG,20th Century Fox,09 Apr 1982,https://m.media-amazon.com/images/M/MV5BZjNlNDFmM2ItMDE0Zi00MWNiLTljOWQtZGQ1YTQ2ZWUzZDU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
On Golden Pond,Drama,68,7.7,N/A,PG,Twentieth Century Fox Home Entertainment,12 Feb 1982,https://m.media-amazon.com/images/M/MV5BNWQ4MGZlZmYtZjY0MS00N2JhLWE0NmMtOTMwMTk4NDQ4NjE2XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Raiders of the Lost Ark,"Action, Adventure",85,8.5,N/A,PG,Paramount Pictures,12 Jun 1981,https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg
Reds,"Biography, Drama, History, Romance",76,7.4,N/A,PG,Paramount Home Video,25 Dec 1981,https://m.media-amazon.com/images/M/MV5BYWU5NjA2OWItMjc3MS00NDk4LWJhYzEtMzczMGU4MDk5OTUwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Coal Miner's Daughter,"Biography, Drama, Music",87,7.5,N/A,PG,MCA Universal Home Video,07 Mar 1980,https://m.media-amazon.com/images/M/MV5BNzg1ZDg0ZDgtOGQzNi00Y2IyLTg2YzQtY2U1N2E4MjQzMjhiXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
The Elephant Man,"Biography, Drama",77,8.2,N/A,PG,Paramount,10 Oct 1980,https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Ordinary People,Drama,87,7.8,N/A,R,Paramount Pictures,26 Feb 1981,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Raging Bull,"Biography, Drama, Sport",89,8.2,N/A,R,United Artists,19 Dec 1980,https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg
Tess,"Drama, Romance",82,7.3,N/A,PG,Criterion Collection,12 Dec 1980,https://m.media-amazon.com/images/M/MV5BMWM1YjgwOTMtM2IzMi00ZGE2LWI3YzAtMjZmNjBhNGU4ZTcyXkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_SX300.jpg
All That Jazz,"Drama, Music, Musical",72,7.8,N/A,R,20th Century Fox Film Corporation,20 Dec 1979,https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Apocalypse Now,"Drama, War",94,8.5,N/A,R,United Artists,15 Aug 1979,https://m.media-amazon.com/images/M/MV5BZTNkZmU0ZWQtZjQzMy00YTNmLWFmN2MtZGNkMmU1OThmMGYwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Breaking Away,"Comedy, Drama, Romance, Sport",91,7.7,N/A,PG,Twentieth Century Fox,20 Jul 1979,https://m.media-amazon.com/images/M/MV5BNzg2NjA3N2YtMTNlNC00MDg5LWE4MWEtMzE4NjFlYjY4MGJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Kramer vs. Kramer,Drama,77,7.8,N/A,PG,Sony Pictures Home Entertainment,19 Dec 1979,https://m.media-amazon.com/images/M/MV5BNDM3YjNlYmMtOGY3NS00MmRjLWIyY2UtNDA0MWM3OTNlZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Norma Rae,Drama,61,7.4,N/A,PG,20th Century Fox Film Corporat,02 Mar 1979,https://m.media-amazon.com/images/M/MV5BYjk0NDRjMzctNjkwMS00ODYwLWFkZDEtYjFjODE3ZTk3OGY5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Coming Home,"Drama, Romance, War",61,7.3,N/A,R,MGM Home Entertainment,15 Feb 1978,https://m.media-amazon.com/images/M/MV5BNTZmMmE4YWQtNjhkYi00NGM0LWI4YTQtZjk2ZTJkNWE1MjVjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
The Deer Hunter,"Drama, War",86,8.1,N/A,R,Universal Pictures,23 Feb 1979,https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Heaven Can Wait,"Comedy, Fantasy, Romance, Sport",72,6.9,N/A,PG,Paramount Home Video,28 Jun 1978,https://m.media-amazon.com/images/M/MV5BN2NlOGI1YTMtZjk3My00YWY4LWE2ZGUtNzA2Y2E1ZjU0ZTZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg
Midnight Express,"Biography, Crime, Drama, Thriller",59,7.6,N/A,R,Sony Pictures Home Entertainment,06 Oct 1978,https://m.media-amazon.com/images/M/MV5BNDU1MjQ0YWMtMWQ2MS00NTdmLTg1MGItNDA5NTNkNTRhOTIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
An Unmarried Woman,"Comedy, Drama, Romance",N/A,7.2,N/A,R,20th Century Fox Film Corporation,26 May 1978,https://m.media-amazon.com/images/M/MV5BMTNhNzU5OGItZDk5Zi00NjJlLTkzMGMtZDNmNjQ5ZjZjZjRhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Annie Hall,"Comedy, Romance",92,8.0,N/A,PG,United Artists,20 Apr 1977,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The Goodbye Girl,"Comedy, Drama, Romance",N/A,7.4,N/A,PG,MGM Home Entertainment,30 Nov 1977,https://m.media-amazon.com/images/M/MV5BOWRlNGI5NjAtNDFjZi00YTc1LTkxNGQtNzljMDY0OWY1NjRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg
Julia,Drama,58,7.3,N/A,PG,20th Century Fox Film Corporation,20 Jan 1978,https://m.media-amazon.com/images/M/MV5BNTI2YjQ3MWYtODczNy00M2VmLWI2ODYtYmVlMzc1MTQ3MzM1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy, Sci-Fi",90,8.6,N/A,PG,20th Century Fox,25 May 1977,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Turning Point,"Drama, Romance",68,6.9,N/A,PG,Paramount Pictures,18 Nov 1977,https://m.media-amazon.com/images/M/MV5BYTAwYjZjODUtMmM0My00YjhkLTg2MDctMjIwMzUyZGMzZWYzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
All the President's Men,"Biography, Drama, History, Thriller",80,8.0,N/A,PG,Warner Home Video,09 Apr 1976,https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Bound for Glory,"Biography, Drama, Music",70,7.3,N/A,PG,United Artists,05 Dec 1976,https://m.media-amazon.com/images/M/MV5BOWRlMmU0OGUtZjhjMS00YWQ2LWEzNzYtMWYxOWMwNjhkMGVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Network,Drama,83,8.1,N/A,R,MGM/United Artists,27 Nov 1976,https://m.media-amazon.com/images/M/MV5BNmFiOWY3ZTktOTYwNy00ZTUzLTk0ODQtNzIxMzQ0ZDFjMTgyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
Rocky,"Drama, Sport",70,8.1,N/A,PG,United Artists,03 Dec 1976,https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX300.jpg
Taxi Driver,"Crime, Drama",94,8.3,N/A,R,Columbia Pictures,08 Feb 1976,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
