Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL,Year,Category,Nominee,Won?
L.A. Confidential,"Crime, Drama, Mystery, Thriller",90.0,8.3,,R,Warner Bros. Pictures,19 Sep 1997,https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1997 (70th),Best Picture,L.A. Confidential,NO
Titanic,"Drama, Romance",75.0,7.8,,PG-13,Paramount Pictures,19 Dec 1997,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1997 (70th),Best Picture,Titanic,YES
The English Patient,"Drama, Romance, War",87.0,7.4,,R,Miramax Films,06 Dec 1996,https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1996 (69th),Best Picture,The English Patient,YES
Fargo,"Crime, Drama, Thriller",85.0,8.1,,R,MGM,05 Apr 1996,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1996 (69th),Best Picture,Fargo,NO
Jerry Maguire,"Comedy, Drama, Romance, Sport",77.0,7.3,,R,TriStar Pictures,13 Dec 1996,https://m.media-amazon.com/images/M/MV5BYTM0ZWNmZTUtOTVkZS00MTZiLTg3M2QtZjA0Y2RmOWM1NWEyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1996 (69th),Best Picture,Jerry Maguire,NO
Secrets & Lies,Drama,91.0,8.0,,R,Twentieth Century Fox Home Entertainment,28 Feb 1997,https://m.media-amazon.com/images/M/MV5BY2QzMTIxNjItNGQyNy00MjQzLWJiYTItMzIyZjdkYjYyYjRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1996 (69th),Best Picture,Secrets & Lies,NO
Shine,"Biography, Drama, Music, Romance",87.0,7.7,,PG-13,New Line Home Entertainment,14 Feb 1997,https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_SX300.jpg,1996 (69th),Best Picture,Shine,NO
Apollo 13,"Adventure, Drama, History",77.0,7.6,,PG,Universal Pictures,30 Jun 1995,https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1995 (68th),Best Picture,Apollo 13,NO
Babe,"Comedy, Drama, Family",83.0,6.8,,G,Universal Pictures,04 Aug 1995,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,1995 (68th),Best Picture,Babe,NO
Braveheart,"Biography, Drama, History, War",68.0,8.4,,R,Paramount Pictures,24 May 1995,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1995 (68th),Best Picture,Braveheart,YES
The Postman (Il Postino),"Biography, Comedy, Drama, Romance",81.0,7.7,,PG,Penta Film,22 Mar 1996,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,1995 (68th),Best Picture,The Postman (Il Postino),NO
Sense and Sensibility,"Drama, Romance",84.0,7.7,,PG,Columbia Pictures,26 Jan 1996,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,1995 (68th),Best Picture,Sense and Sensibility,NO
Forrest Gump,"Drama, Romance",82.0,8.8,"$330,000,000",PG-13,Paramount Pictures,06 Jul 1994,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1994 (67th),Best Picture,Forrest Gump,YES
Four Weddings and a Funeral,"Comedy, Drama, Romance",81.0,7.1,,R,Gramercy Pictures,15 Apr 1994,https://m.media-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg,1994 (67th),Best Picture,Four Weddings and a Funeral,NO
Pulp Fiction,"Crime, Drama",94.0,8.9,,R,Miramax Films,14 Oct 1994,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1994 (67th),Best Picture,Pulp Fiction,NO
Quiz Show,"Biography, Drama, History",88.0,7.5,,PG-13,Buena Vista Internationa,07 Oct 1994,https://m.media-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,1994 (67th),Best Picture,Quiz Show,NO
The Shawshank Redemption,Drama,80.0,9.3,,R,Columbia Pictures,14 Oct 1994,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1994 (67th),Best Picture,The Shawshank Redemption,NO
The Fugitive,"Action, Crime, Drama, Mystery, Thriller",87.0,7.8,,PG-13,Warner Bros. Pictures,06 Aug 1993,https://m.media-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1993 (66th),Best Picture,The Fugitive,NO
In the Name of the Father,"Biography, Drama",84.0,8.1,,R,Universal Pictures,25 Feb 1994,https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1993 (66th),Best Picture,In the Name of the Father,NO
The Piano,"Drama, Music, Romance",89.0,7.6,,R,Miramax Films,11 Feb 1994,https://m.media-amazon.com/images/M/MV5BMWVkNzg3NDktOTFmMi00YjU2LTk0MzMtYTVjZjRiYTliZDkzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1993 (66th),Best Picture,The Piano,NO
The Remains of the Day,"Drama, Romance",84.0,7.9,,PG,Sony Pictures Home Entertainment,19 Nov 1993,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,1993 (66th),Best Picture,The Remains of the Day,NO
Schindler's List,"Biography, Drama, History",93.0,8.9,,R,Universal Pictures,04 Feb 1994,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1993 (66th),Best Picture,Schindler's List,YES
The Crying Game,"Crime, Drama, Romance, Thriller",90.0,7.3,,R,Live Home Video,19 Feb 1993,https://m.media-amazon.com/images/M/MV5BYWU4MjQ3YzUtNTA3YS00YmRmLTk1YjktODM1NGU0MjFiOTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1992 (65th),Best Picture,The Crying Game,NO
A Few Good Men,"Drama, Thriller",62.0,7.7,,R,Columbia Pictures,11 Dec 1992,https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1992 (65th),Best Picture,A Few Good Men,NO
Howards End,"Drama, Romance",89.0,7.5,"$157,888",PG,Sony Pictures Home Entertainment,26 Feb 1993,https://m.media-amazon.com/images/M/MV5BMTk3MDY3NDc2NF5BMl5BanBnXkFtZTgwODcwNjgzOTE@._V1_SX300.jpg,1992 (65th),Best Picture,Howards End,NO
Scent of a Woman,Drama,59.0,8.0,,R,Universal Pictures,08 Jan 1993,https://m.media-amazon.com/images/M/MV5BZTM3ZjA3NTctZThkYy00ODYyLTk2ZjItZmE0MmZlMTk3YjQwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1992 (65th),Best Picture,Scent of a Woman,NO
Unforgiven,"Drama, Western",85.0,8.2,,R,Warner Bros. Pictures,07 Aug 1992,https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1992 (65th),Best Picture,Unforgiven,YES
Beauty and the Beast,"Animation, Family, Fantasy, Musical, Romance",95.0,8.0,"$47,611,331",G,Buena Vista,22 Nov 1991,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1991 (64th),Best Picture,Beauty and the Beast,NO
Bugsy,"Biography, Crime, Drama",80.0,6.8,,R,Sony Pictures Home Entertainment,20 Dec 1991,https://m.media-amazon.com/images/M/MV5BMjIzMTgwODE0Nl5BMl5BanBnXkFtZTgwNzgyMDUxMDE@._V1_SX300.jpg,1991 (64th),Best Picture,Bugsy,NO
JFK,"Drama, History, Thriller",72.0,8.0,,R,Warner Bros.,20 Dec 1991,https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1991 (64th),Best Picture,JFK,NO
The Prince of Tides,"Drama, Romance",65.0,6.7,,R,Sony Pictures Home Entertainment,25 Dec 1991,https://m.media-amazon.com/images/M/MV5BOTg0MjljZmYtNTkxMy00ZGE3LWI4NjQtZjdlOWU1ODc1M2NkXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,1991 (64th),Best Picture,The Prince of Tides,NO
The Silence of the Lambs,"Crime, Drama, Thriller",85.0,8.6,,R,Orion Pictures Corporation,14 Feb 1991,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1991 (64th),Best Picture,The Silence of the Lambs,YES
Awakenings,"Biography, Drama",74.0,7.8,,PG-13,Columbia Pictures,11 Jan 1991,https://m.media-amazon.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg,1990 (63rd),Best Picture,Awakenings,NO
Ghost,"Drama, Fantasy, Romance, Thriller",52.0,7.0,,PG-13,Paramount Pictures,13 Jul 1990,https://m.media-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,1990 (63rd),Best Picture,Ghost,NO
Good Fellas,Comedy,,,,,,01 Mar 2017,,1990 (63rd),Best Picture,Good Fellas,NO
Born on the Fourth of July,"Biography, Drama, War",75.0,7.2,,R,Universal Pictures,05 Jan 1990,https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,1989 (62nd),Best Picture,Born on the Fourth of July,NO
Dead Poets Society,"Comedy, Drama",79.0,8.1,,PG,Buena Vista Pictures,09 Jun 1989,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Dead Poets Society,NO
Driving Miss Daisy,Drama,81.0,7.4,,PG,Fathom Events,26 Jan 1990,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Driving Miss Daisy,YES
Field of Dreams,"Drama, Family, Fantasy, Sport",57.0,7.5,,PG,Universal Pictures,05 May 1989,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,Field of Dreams,NO
My Left Foot,"Biography, Drama",97.0,7.9,,R,HBO Video,30 Mar 1990,https://m.media-amazon.com/images/M/MV5BYjdkNzA4MzYtZThhOS00ZDgzLTlmMDItNmY1ZjI5YjkzZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1989 (62nd),Best Picture,My Left Foot,NO
The Accidental Tourist,"Drama, Romance",53.0,6.8,,PG,Warner Home Video,06 Jan 1989,https://m.media-amazon.com/images/M/MV5BZWI3MzgyODctODM3NS00YTYxLThjZjAtYzdjOGIzZWQyZmIzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1988 (61st),Best Picture,The Accidental Tourist,NO
Dangerous Liaisons,"Drama, Romance",74.0,7.6,,R,Warner Home Video,24 Feb 1989,https://m.media-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1988 (61st),Best Picture,Dangerous Liaisons,NO
Mississippi Burning,"Crime, Drama, History, Mystery, Thriller",65.0,7.8,,R,Orion Pictures Corporation,27 Jan 1989,https://m.media-amazon.com/images/M/MV5BM2MxNzZjZmItNzlhMi00NWM4LTgxODItZjQxNTQzZTdhMDcxXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,1988 (61st),Best Picture,Mississippi Burning,NO
Rain Man,Drama,65.0,8.0,,R,MGM,16 Dec 1988,https://m.media-amazon.com/images/M/MV5BMzVjNzI4NzYtMjE4NS00M2IzLWFkOWMtOTYwMWUzN2ZlNGVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1988 (61st),Best Picture,Rain Man,YES
Working Girl,"Comedy, Drama, Romance",73.0,6.8,,R,20th Century Fox,21 Dec 1988,https://m.media-amazon.com/images/M/MV5BZTIwZGE5OWUtYzMxMi00Njk5LWI5NjAtMWYyMDljZGRjYWRlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1988 (61st),Best Picture,Working Girl,NO
Broadcast News,"Comedy, Drama, Romance",84.0,7.2,,R,Twentieth Century Fox Home Entertainment,25 Dec 1987,https://m.media-amazon.com/images/M/MV5BN2E1ZmU5NDQtNjdlZC00Y2VhLTk2MWMtMmU0M2YyY2E3MTkyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1987 (60th),Best Picture,Broadcast News,NO
Fatal Attraction,"Drama, Thriller",67.0,6.9,,R,Paramount Pictures,18 Sep 1987,https://m.media-amazon.com/images/M/MV5BYjBjNzNiNWYtYWU0NC00OTdjLTk3NmYtM2NjZjc2ZGIwOTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1987 (60th),Best Picture,Fatal Attraction,NO
Hope and Glory,"Comedy, Drama, Romance",,7.4,,PG-13,Nelson Entertainment,19 Feb 1988,https://m.media-amazon.com/images/M/MV5BMDUxNjg4MGQtODM2NC00YWZmLWJkZTEtMmFmMTBlZmYyMWVhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1987 (60th),Best Picture,Hope and Glory,NO
The Last Emperor,"Biography, Drama, History",76.0,7.8,,PG-13,Columbia Pictures,15 Apr 1988,https://m.media-amazon.com/images/M/MV5BZTk0NDU4YmItOTk0ZS00ODc2LTkwNGItNWI5MDJkNTJiYWMxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1987 (60th),Best Picture,The Last Emperor,YES
Moonstruck,"Comedy, Drama, Romance",83.0,7.1,,PG,MGM Home Entertainment,15 Jan 1988,https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,1987 (60th),Best Picture,Moonstruck,NO
Children of a Lesser God,"Drama, Romance",80.0,7.2,,R,Paramount Pictures,31 Oct 1986,https://m.media-amazon.com/images/M/MV5BN2VjN2ViNTItMWFhNS00MTdjLTk0MTEtYTA5MzQ5OThkMjgwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1986 (59th),Best Picture,Children of a Lesser God,NO
Hannah and Her Sisters,"Comedy, Drama",90.0,7.9,,PG-13,Orion Pictures,14 Mar 1986,https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,1986 (59th),Best Picture,Hannah and Her Sisters,NO
The Mission,"Adventure, Drama, History",55.0,7.5,,PG,Warner Home Video,31 Oct 1986,https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1986 (59th),Best Picture,The Mission,NO
Platoon,"Drama, War",92.0,8.1,,R,Orion Pictures,06 Feb 1987,https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1986 (59th),Best Picture,Platoon,YES
A Room with a View,"Drama, Romance",80.0,7.4,,Not Rated,Cinecom Pictures,11 Apr 1986,https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,1986 (59th),Best Picture,A Room with a View,NO
The Color Purple,Drama,78.0,7.8,,PG-13,Warner Home Video,07 Feb 1986,https://m.media-amazon.com/images/M/MV5BZDRkOWQ5NGUtYTVmOS00ZjNhLWEwODgtOGI2MmUxNTBkMjU0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1985 (58th),Best Picture,The Color Purple,NO
Kiss of the Spider Woman,Drama,80.0,7.4,,R,Strand Releasing,26 Jul 1985,"https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg",1985 (58th),Best Picture,Kiss of the Spider Woman,NO
Out of Africa,"Biography, Drama, Romance",69.0,7.2,,PG,Universal Pictures,20 Dec 1985,https://m.media-amazon.com/images/M/MV5BMTc5Y2NiZWQtZGY4YS00NDI4LThhM2ItMDdhYzFlNzY1NmM0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1985 (58th),Best Picture,Out of Africa,YES
Prizzi's Honor,"Comedy, Crime, Drama, Romance",84.0,6.8,,R,Fox,14 Jun 1985,https://m.media-amazon.com/images/M/MV5BZmVmOGIzNDUtODYwZi00NWI2LTlhOGQtNmU1ZjU2OGFiOTRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1985 (58th),Best Picture,Prizzi's Honor,NO
Witness,"Crime, Drama, Romance, Thriller",76.0,7.4,,R,Paramount Pictures,08 Feb 1985,https://m.media-amazon.com/images/M/MV5BZWQzYmM5OGYtMDJlOC00M2RlLThhYzgtNjZiOWYxNjlhMDJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1985 (58th),Best Picture,Witness,NO
Amadeus,"Biography, Drama, History, Music",88.0,8.3,,R,Warner Bros. Pictures,19 Sep 1984,https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1984 (57th),Best Picture,Amadeus,YES
The Killing Fields,"Biography, Drama, History, War",,7.9,,R,Warner Home Video,01 Feb 1985,https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,The Killing Fields,NO
A Passage to India,"Adventure, Drama, History",,7.4,,PG,Sony Pictures Entertainment,01 Feb 1985,https://m.media-amazon.com/images/M/MV5BMjI4MzMzMTUzMV5BMl5BanBnXkFtZTgwNzAzMDUxMDE@._V1_SX300.jpg,1984 (57th),Best Picture,A Passage to India,NO
Places in the Heart,Drama,70.0,7.4,,PG,Twentieth Century Fox Home Entertainment,05 Oct 1984,https://m.media-amazon.com/images/M/MV5BNGQwODc1NTctYTAzMS00M2YyLTgwNzMtNGY1MDE4MjE4YzY5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,Places in the Heart,NO
A Soldier's Story,"Crime, Drama, Mystery, War",,7.2,,PG,Sony Pictures Home Entertainment,02 Nov 1984,https://m.media-amazon.com/images/M/MV5BMzUxMjY2MWQtNGUyZC00NjkzLWE1MWUtYTM5YzFiZDU5MDM4XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1984 (57th),Best Picture,A Soldier's Story,NO
The Big Chill,"Comedy, Drama",61.0,7.2,,R,Columbia Pictures,30 Sep 1983,https://m.media-amazon.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX300.jpg,1983 (56th),Best Picture,The Big Chill,NO
The Dresser,Drama,,7.7,,PG,Sony Pictures Entertainment,06 Dec 1983,https://m.media-amazon.com/images/M/MV5BN2IxMWUwZWYtZmE1Yi00Yzk2LWE3NzYtNGZkMjdlM2I0MzhiXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,1983 (56th),Best Picture,The Dresser,NO
The Right Stuff,"Adventure, Biography, Drama, History",91.0,7.9,,PG,Warner Bros. Pictures,17 Feb 1984,https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1983 (56th),Best Picture,The Right Stuff,NO
Tender Mercies,"Drama, Music",,7.4,,PG,HBO Video,10 Jun 1983,https://m.media-amazon.com/images/M/MV5BMjEzYjQzOTQtMzFmMS00MjIwLTk2ZDQtZDFhMDdkYjFhZDMwXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1983 (56th),Best Picture,Tender Mercies,NO
Terms of Endearment,"Comedy, Drama",79.0,7.4,,PG,Paramount Pictures,09 Dec 1983,https://m.media-amazon.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX300.jpg,1983 (56th),Best Picture,Terms of Endearment,YES
Gandhi,"Biography, Drama, History",79.0,8.1,,PG,Columbia Pictures,25 Feb 1983,https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1982 (55th),Best Picture,Gandhi,YES
Missing,"Biography, Drama, History, Mystery, Thriller",78.0,7.8,,PG,Universal Pictures,12 Mar 1982,https://m.media-amazon.com/images/M/MV5BMGJmOGZiN2YtYWI2MS00ZGQzLWEwMmQtZTdiYjFjOWFiZDg4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1982 (55th),Best Picture,Missing,NO
Tootsie,"Comedy, Drama, Romance",88.0,7.4,,PG,Columbia Pictures,17 Dec 1982,https://m.media-amazon.com/images/M/MV5BMTY4MGJjMTktNGM4Ni00ODliLWJlYjQtNjc4NmY2NjQ3NzEzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1982 (55th),Best Picture,Tootsie,NO
The Verdict,Drama,77.0,7.8,,R,Twentieth Century Fox Home Entertainment,17 Dec 1982,https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg,1982 (55th),Best Picture,The Verdict,NO
Atlantic City,"Crime, Drama, Romance",,7.4,,R,Paramount Home Video,03 Apr 1981,https://m.media-amazon.com/images/M/MV5BYThhZmI4ZjYtYzZlZS00NWRlLWJkZmMtNGVlMzIyNmE1ZjU1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1981 (54th),Best Picture,Atlantic City,NO
Chariots of Fire,"Biography, Drama, Sport",78.0,7.2,,PG,20th Century Fox,09 Apr 1982,https://m.media-amazon.com/images/M/MV5BZjNlNDFmM2ItMDE0Zi00MWNiLTljOWQtZGQ1YTQ2ZWUzZDU2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1981 (54th),Best Picture,Chariots of Fire,YES
On Golden Pond,Drama,68.0,7.7,,PG,Twentieth Century Fox Home Entertainment,12 Feb 1982,https://m.media-amazon.com/images/M/MV5BNWQ4MGZlZmYtZjY0MS00N2JhLWE0NmMtOTMwMTk4NDQ4NjE2XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1981 (54th),Best Picture,On Golden Pond,NO
Raiders of the Lost Ark,"Action, Adventure",85.0,8.5,,PG,Paramount Pictures,12 Jun 1981,https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,1981 (54th),Best Picture,Raiders of the Lost Ark,NO
Reds,"Biography, Drama, History, Romance",76.0,7.4,,PG,Paramount Home Video,25 Dec 1981,https://m.media-amazon.com/images/M/MV5BYWU5NjA2OWItMjc3MS00NDk4LWJhYzEtMzczMGU4MDk5OTUwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1981 (54th),Best Picture,Reds,NO
